author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Regions Development,developer,https://www.cian.ru/sale/flat/308234966/,Москва,sale,flat,8,16,1,37.8,18192215.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/302038012/,Москва,sale,flat,29,51,2,60.0,27800000.0,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/308895501/,Москва,sale,flat,7,29,1,46.8,27850000.0,Раменки,Кинематографический кв-л,,Аминьевская,Сторис на Мосфильмовской ЖК
ID 153651,realtor,https://www.cian.ru/sale/flat/308215365/,Москва,sale,flat,7,25,2,71.6,28000000.0,Покровское-Стрешнево,Волоколамское шоссе,71к1,Спартак,Город на Реке Тушино-2018
ID 22653,real_estate_agent,https://www.cian.ru/sale/flat/293088942/,Москва,sale,flat,13,18,1,49.7,28000000.0,Даниловский,бульвар Братьев Весниных,2,ЗИЛ,ЗИЛАРТ
ID 109135729,realtor,https://www.cian.ru/sale/flat/308790358/,Москва,sale,flat,7,25,2,47.0,27890000.0,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park 
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/307228189/,Москва,sale,flat,15,38,2,81.0,28900000.0,Пресненский,Шмитовский проезд,39к5,Шелепиха,Headliner
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/307648941/,Москва,sale,flat,4,34,2,87.0,30000000.0,Аэропорт,Кочновский проезд,4к2,Гражданская,Аэробус
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/307386695/,Москва,sale,flat,10,41,2,47.4,41000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/304330058/,Москва,sale,flat,7,14,2,68.9,41000000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
ID 22653,real_estate_agent,https://www.cian.ru/sale/flat/300957264/,Москва,sale,flat,3,13,2,82.9,41600000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308335219/,Москва,sale,flat,15,23,2,100.8,42000000.0,Раменки, Пырьева,9к2,Поклонная,
ID 91109179,real_estate_agent,https://www.cian.ru/sale/flat/294452835/,Москва,sale,flat,16,78,2,62.0,42000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/307516581/,Москва,sale,flat,2,6,2,80.0,42900000.0,Басманный,Колпачный переулок,6С4,Китай-город,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300334600/,Москва,sale,flat,6,16,1,26.0,6400000.0,, Василия Ощепкова,4,Новомосковская,Москвичка
АРЧЕДО-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303230916/,Москва,sale,flat,14,17,1,23.8,7000000.0,,проезд Чечерский,130,Бунинская аллея,
Рыков Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/306553693/,Москва,sale,flat,3,3,1,37.0,4500000.0,, Энгельса,37,Мичуринец,
MosEstate,real_estate_agent,https://www.cian.ru/sale/flat/308618671/,Москва,sale,flat,10,13,2,38.4,7650000.0,,,к11.2.3,Прокшино,Прокшино ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/307219367/,Москва,sale,flat,3,5,1,34.0,5500000.0,,,12,Силикатная,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/297230401/,Подольск,sale,flat,12,22,1,38.1,6398133.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ID 269655,realtor,https://podolsk.cian.ru/sale/flat/269054565/,Подольск,sale,flat,2,14,1,39.0,5850000.0,, Академика Доллежаля,22,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/305756702/,Подольск,sale,flat,18,22,1,40.15,6728337.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ID 7296683,realtor,https://podolsk.cian.ru/sale/flat/308168000/,Подольск,sale,flat,3,5,1,33.0,4200000.0,, Садовая,5,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/308009944/,Подольск,sale,flat,3,22,2,56.31,8761836.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ID 18094890,homeowner,https://podolsk.cian.ru/sale/flat/308181666/,Подольск,sale,flat,2,5,1,30.0,4550000.0,, Садовая,22,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/297230266/,Подольск,sale,flat,8,22,1,43.34,7192273.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
CENTURY21 Союз,real_estate_agent,https://podolsk.cian.ru/sale/flat/307152194/,Подольск,sale,flat,3,5,1,31.3,4650000.0,,Плещеевская ,56,Силикатная,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/303572786/,Подольск,sale,flat,8,22,1,37.44,6322493.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
Андрей Синицын,realtor,https://podolsk.cian.ru/sale/flat/308056790/,Подольск,sale,flat,5,5,2,49.7,6500000.0,, Циолковского,15,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/307413439/,Подольск,sale,flat,7,22,1,45.83,7277804.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ФРИДОМ,real_estate_agent,https://podolsk.cian.ru/sale/flat/302552039/,Подольск,sale,flat,9,10,2,52.0,7700000.0,, Мира,17,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/297230232/,Подольск,sale,flat,10,22,2,65.85,10002615.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ID 79190597,homeowner,https://podolsk.cian.ru/sale/flat/298409779/,Подольск,sale,flat,10,21,1,40.0,9000000.0,,проезд Тарутинский,1,Подольск,Бородино
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/297230356/,Подольск,sale,flat,3,22,1,42.04,6731024.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ОГРК,real_estate_agent,https://podolsk.cian.ru/sale/flat/305638910/,Подольск,sale,flat,17,17,2,69.0,9650000.0,,Северная ,9а,Подольск,Северный
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/297230219/,Подольск,sale,flat,10,22,2,66.63,10021152.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/308328912/,Подольск,sale,flat,12,17,2,77.4,10500000.0,,Силикатная ,6/3,Силикатная,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/305756700/,Подольск,sale,flat,16,22,1,52.97,8416933.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
Лариса Мелентьева,realtor,https://podolsk.cian.ru/sale/flat/279586424/,Подольск,sale,flat,5,5,1,31.8,4200000.0,, Батырева,4/3,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/307323181/,Подольск,sale,flat,8,22,2,59.48,9153972.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ФРИДОМ,real_estate_agent,https://podolsk.cian.ru/sale/flat/304879769/,Подольск,sale,flat,3,5,1,31.0,4570000.0,, Кирова,59,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/297230194/,Подольск,sale,flat,3,22,2,64.05,9748410.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
ID 12292275,unknown,https://podolsk.cian.ru/sale/flat/304346731/,Подольск,sale,flat,14,17,1,38.4,5900000.0,, 43-й Армии,17а,Подольск,
РАЗВИТИЕ,developer,https://podolsk.cian.ru/sale/flat/298155093/,Подольск,sale,flat,3,22,2,64.63,9707426.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин
Ринат Аюпов,realtor,https://podolsk.cian.ru/sale/flat/303056543/,Подольск,sale,flat,14,23,1,35.2,6500000.0,, Садовая,5к1,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563438/,Подольск,sale,flat,8,17,2,51.3,7951500.0,, Советская,18к1,Подольск,Мессиер 18
ID 117513562,homeowner,https://podolsk.cian.ru/sale/flat/306662727/,Подольск,sale,flat,5,18,2,55.1,7050000.0,, 43-й Армии,23,Подольск,Подольские просторы
Нелля Букреева,realtor,https://podolsk.cian.ru/sale/flat/307669731/,Подольск,sale,flat,3,17,2,73.8,9000000.0,,Юбилейная ,13а,Подольск,Подольские просторы
Наталья Ворожейкина,realtor,https://podolsk.cian.ru/sale/flat/308450803/,Подольск,sale,flat,3,9,1,34.0,5100000.0,,Красногвардейский бульвар,37,Подольск,
ID 123300363,homeowner,https://podolsk.cian.ru/sale/flat/308858219/,Подольск,sale,flat,1,5,2,47.2,7200000.0,, Симферопольская,25,Подольск,
Галина Стеблякова,realtor,https://podolsk.cian.ru/sale/flat/303421811/,Подольск,sale,flat,9,18,2,57.6,13800000.0,, Кольцевая,3,Силикатная,
Самолет Плюс,real_estate_agent,https://podolsk.cian.ru/sale/flat/308185051/,Подольск,sale,flat,7,17,1,37.6,6000000.0,,бульвар 65-летия Победы,5к1,Подольск,
Exclusive,real_estate_agent,https://podolsk.cian.ru/sale/flat/292931682/,Подольск,sale,flat,2,9,2,50.3,6100000.0,, Большая Серпуховская,52,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/304415881/,Подольск,sale,flat,2,2,1,29.7,4400000.0,, Лобачева,22,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563344/,Подольск,sale,flat,14,17,1,49.16,7619800.0,, Советская,18к1,Подольск,Мессиер 18
Наталья Ворожейкина,realtor,https://podolsk.cian.ru/sale/flat/308450638/,Подольск,sale,flat,5,5,2,39.0,5950000.0,,Рабочая ,32/24,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563552/,Подольск,sale,flat,4,17,1,49.98,8056735.0,, Советская,18к2,Подольск,Мессиер 18
ID 405471,realtor,https://podolsk.cian.ru/sale/flat/307696134/,Подольск,sale,flat,10,17,1,49.0,12200000.0,,Народная ,23,Подольск,Народный
Владислав Сергеевич Грищенко,realtor,https://podolsk.cian.ru/sale/flat/308361052/,Подольск,sale,flat,9,12,2,40.0,5750000.0,, Машиностроителей,32,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563390/,Подольск,sale,flat,17,17,2,70.47,10147680.0,, Советская,18к1,Подольск,Мессиер 18
ID 117476050,homeowner,https://podolsk.cian.ru/sale/flat/307957415/,Подольск,sale,flat,5,5,2,47.4,7100000.0,, Заводская,12,Подольск,
МИЭЛЬ,real_estate_agent,https://podolsk.cian.ru/sale/flat/308306968/,Подольск,sale,flat,5,14,1,40.0,5490000.0,, Академика Доллежаля,10,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563340/,Подольск,sale,flat,13,17,2,74.79,10844550.0,, Советская,18к1,Подольск,Мессиер 18
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/307673348/,Подольск,sale,flat,5,5,1,30.4,4200000.0,,Пионерская ,18,Подольск,
Самолет Плюс Просторы,real_estate_agent,https://podolsk.cian.ru/sale/flat/302533846/,Подольск,sale,flat,1,1,2,31.0,3500000.0,,Строительная ,13/48,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563560/,Подольск,sale,flat,5,17,2,69.15,10026750.0,, Советская,18к2,Подольск,Мессиер 18
PORTAL ESTATE,real_estate_agent,https://podolsk.cian.ru/sale/flat/301343313/,Подольск,sale,flat,8,9,1,29.0,5000000.0,, Большая Серпуховская,14,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563399/,Подольск,sale,flat,2,17,1,49.98,7746900.0,, Советская,18к1,Подольск,Мессиер 18
Exclusive,real_estate_agent,https://podolsk.cian.ru/sale/flat/308347922/,Подольск,sale,flat,1,1,2,39.0,5000000.0,,проспект Юных Ленинцев,12/1,Силикатная,
Наталья Путятова,realtor,https://podolsk.cian.ru/sale/flat/300023829/,Подольск,sale,flat,2,4,1,37.0,6200000.0,,Революционный проспект,16а,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563490/,Подольск,sale,flat,13,17,1,51.3,7951500.0,, Советская,18к2,Подольск,Мессиер 18
Мосриэлти,real_estate_agent,https://podolsk.cian.ru/sale/flat/302244983/,Подольск,sale,flat,5,18,1,33.8,4160000.0,, Серпуховская,3А,Подольск,Дом на Серпуховской
ЭТАЖИ Подольск,real_estate_agent,https://podolsk.cian.ru/sale/flat/297646815/,Подольск,sale,flat,3,3,1,31.1,3600000.0,,проезд Садовый,2,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563403/,Подольск,sale,flat,2,17,2,71.56,10376200.0,, Советская,18к1,Подольск,Мессиер 18
Александр Агибалов,realtor,https://podolsk.cian.ru/sale/flat/308461896/,Подольск,sale,flat,4,5,2,45.0,6300000.0,,Московская ,5,Силикатная,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/304119135/,Подольск,sale,flat,1,3,1,36.6,5500000.0,,Осенний проезд,1,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563463/,Подольск,sale,flat,10,17,2,72.71,10542950.0,, Советская,18к2,Подольск,Мессиер 18
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/305315286/,Подольск,sale,flat,4,14,1,38.7,5800000.0,, Академика Доллежаля,22,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/297263975/,Подольск,sale,flat,2,5,2,45.8,6200000.0,,Парковая ,11Б,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563315/,Подольск,sale,flat,11,17,2,77.02,11167900.0,, Советская,18к1,Подольск,Мессиер 18
Самолет Плюс Просторы,real_estate_agent,https://podolsk.cian.ru/sale/flat/306653054/,Подольск,sale,flat,5,14,1,38.3,6000000.0,, Академика Доллежаля,18,Подольск,
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/307874413/,Подольск,sale,flat,3,9,1,12.6,2999000.0,,Октябрьский проспект,9а,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563576/,Подольск,sale,flat,7,17,2,76.37,11073650.0,, Советская,18к2,Подольск,Мессиер 18
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/301082827/,Подольск,sale,flat,5,5,1,31.7,4200000.0,, Свердлова,52Б,Подольск,
Кристина Захарова,realtor,https://podolsk.cian.ru/sale/flat/308333803/,Подольск,sale,flat,4,5,1,30.0,4450000.0,, Большая Серпуховская,56,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563534/,Подольск,sale,flat,17,17,2,74.79,10769760.0,, Советская,18к2,Подольск,Мессиер 18
Виктория Колотовкина,realtor,https://podolsk.cian.ru/sale/flat/306480947/,Подольск,sale,flat,1,9,1,33.0,4500000.0,,Красногвардейский бульвар,33,Подольск,
Император,real_estate_agent,https://podolsk.cian.ru/sale/flat/298160880/,Подольск,sale,flat,9,9,1,28.0,4600000.0,, Клемента Готвальда,17,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563488/,Подольск,sale,flat,12,17,2,77.02,11167900.0,, Советская,18к2,Подольск,Мессиер 18
Регион,real_estate_agent,https://podolsk.cian.ru/sale/flat/306370222/,Подольск,sale,flat,3,5,1,35.0,4500000.0,, Ватутина,32,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/304939547/,Подольск,sale,flat,2,5,2,42.0,6000000.0,, Заводская,10,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563546/,Подольск,sale,flat,3,17,2,61.86,9238791.0,, Советская,18к2,Подольск,Мессиер 18
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/304282762/,Подольск,sale,flat,11,14,1,39.3,5800000.0,,Октябрьский проспект,7а,Подольск,
ГОРОБМЕН,real_estate_agent,https://podolsk.cian.ru/sale/flat/308179228/,Подольск,sale,flat,8,9,2,45.0,6800000.0,, Большая Зеленовская,6,Подольск,
,,https://podolsk.cian.ru/sale/flat/306563443/,Подольск,sale,flat,8,17,2,76.37,11073650.0,, Советская,18к1,Подольск,Мессиер 18
Самолет Плюс,real_estate_agent,https://podolsk.cian.ru/sale/flat/306672194/,Подольск,sale,flat,2,14,1,38.7,5700000.0,, Академика Доллежаля,22,Подольск,
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/305603613/,Подольск,sale,flat,5,5,1,18.6,3300000.0,, Заводская,14,Подольск,
Самолет Плюс,real_estate_agent,https://podolsk.cian.ru/sale/flat/304315847/,Подольск,sale,flat,8,9,2,51.7,6925000.0,,Сосновая ,8а,Подольск,
Татьяна Попова,realtor,https://podolsk.cian.ru/sale/flat/276438047/,Подольск,sale,flat,2,5,1,30.7,4300000.0,, Правды,24,Подольск,
Камелот,real_estate_agent,https://podolsk.cian.ru/sale/flat/306144722/,Подольск,sale,flat,2,3,1,25.3,3790000.0,,Осенний проезд,1,Подольск,
ИНКОМ-Недвижимость,real_estate_agent,https://podolsk.cian.ru/sale/flat/306480634/,Подольск,sale,flat,13,17,1,37.8,6700000.0,, Ульяновых,31,Подольск,Парковый
ЭТАЖИ Подольск,real_estate_agent,https://podolsk.cian.ru/sale/flat/308564255/,Подольск,sale,flat,3,5,1,30.7,5400000.0,, Кирова,41,Подольск,
Ольга Павлова,realtor,https://podolsk.cian.ru/sale/flat/306948255/,Подольск,sale,flat,1,18,1,38.7,5200000.0,,проезд Электромонтажный,9,Подольск,Южный
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/304119124/,Подольск,sale,flat,4,5,1,30.1,4500000.0,,Высотная ,9,Подольск,
Эстета,real_estate_agent,https://podolsk.cian.ru/sale/flat/284364368/,Подольск,sale,flat,4,5,2,43.3,4500000.0,,проезд Садовый,3,Подольск,
Триумф,real_estate_agent,https://podolsk.cian.ru/sale/flat/291654560/,Подольск,sale,flat,12,17,1,34.0,6000000.0,, Генерала Варенникова,2,Подольск,
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/308310249/,Подольск,sale,flat,1,5,1,13.2,3300000.0,, Заводская,14,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/305376957/,Подольск,sale,flat,3,9,1,32.0,5890000.0,,проспект Ленина,150А,Подольск,
Лариса Маргиева,realtor,https://podolsk.cian.ru/sale/flat/305808120/,Подольск,sale,flat,3,17,1,56.4,5900000.0,, Серпуховская,3А,Подольск,Дом на Серпуховской
СмениКварти.Ру,real_estate_agent,https://podolsk.cian.ru/sale/flat/308558904/,Подольск,sale,flat,1,9,2,48.4,6700000.0,, Свердлова,15,Подольск,
ДНВ Недвижимость офис Западный,real_estate_agent,https://podolsk.cian.ru/sale/flat/298455698/,Подольск,sale,flat,4,9,1,37.0,6100000.0,, Советская,1,Подольск,
АРТ,real_estate_agent,https://podolsk.cian.ru/sale/flat/300223257/,Подольск,sale,flat,3,5,1,31.6,3980000.0,, Садовая,16,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/306266460/,Подольск,sale,flat,9,9,1,30.9,5000000.0,,Бородинская ,22,Подольск,
Вероника,real_estate_agent,https://podolsk.cian.ru/sale/flat/300548478/,Подольск,sale,flat,1,5,2,41.8,4850000.0,,Южный проезд,9,Подольск,
Наталья Дерун,realtor,https://podolsk.cian.ru/sale/flat/307713113/,Подольск,sale,flat,13,19,1,39.4,6300000.0,, Генерала Смирнова,18,Подольск,
Кристина Захарова,realtor,https://podolsk.cian.ru/sale/flat/299254750/,Подольск,sale,flat,1,12,1,36.0,5050000.0,, Машиностроителей,32,Подольск,
Михаил Вохмянин,realtor,https://podolsk.cian.ru/sale/flat/308102582/,Подольск,sale,flat,1,5,1,31.0,3490000.0,, Школьная,50к6,Подольск,
Простор-недвижимость,real_estate_agent,https://podolsk.cian.ru/sale/flat/307403241/,Подольск,sale,flat,10,14,1,37.9,5500000.0,,проезд Флотский,7,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/308302378/,Подольск,sale,flat,4,5,1,32.3,4900000.0,, Свердлова,41,Подольск,
ЭТАЖИ Подольск,real_estate_agent,https://podolsk.cian.ru/sale/flat/307219460/,Подольск,sale,flat,2,22,1,46.0,5700000.0,, Садовая,3к2,Силикатная,
Дмитрий Касюкин,realtor,https://podolsk.cian.ru/sale/flat/308888160/,Подольск,sale,flat,4,16,1,35.8,6400000.0,,Парковая ,36,Подольск,
Вероника,real_estate_agent,https://podolsk.cian.ru/sale/flat/308889836/,Подольск,sale,flat,2,2,2,43.6,5500000.0,,Физкультурная ,3А,Подольск,
Перспектива,real_estate_agent,https://podolsk.cian.ru/sale/flat/304350883/,Подольск,sale,flat,2,5,2,40.5,5500000.0,,Пионерская ,6,Подольск,
На Петровке,real_estate_agent,https://podolsk.cian.ru/sale/flat/308695030/,Подольск,sale,flat,3,5,1,30.6,4690000.0,,Красногвардейский бульвар,7а,Подольск,
ОГРК,real_estate_agent,https://podolsk.cian.ru/sale/flat/307157974/,Подольск,sale,flat,2,5,2,45.0,6500000.0,, Филиппова,14,Подольск,
Сермус Макс,real_estate_agent,https://podolsk.cian.ru/sale/flat/308119006/,Подольск,sale,flat,17,18,2,55.0,7100000.0,, 43-й Армии,23,Подольск,Подольские просторы
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/303011200/,Подольск,sale,flat,6,9,2,45.3,5900000.0,,Ленинградская ,4,Подольск,
Оксана Александрова,realtor,https://podolsk.cian.ru/sale/flat/268223265/,Подольск,sale,flat,4,5,2,45.0,5500000.0,,Высотная ,3а,Подольск,
Любовь Корягина,realtor,https://podolsk.cian.ru/sale/flat/308954825/,Подольск,sale,flat,5,5,2,44.0,6200000.0,,Красногвардейский бульвар,13а,Подольск,
Владис,real_estate_agent,https://podolsk.cian.ru/sale/flat/302067317/,Подольск,sale,flat,7,9,2,50.0,6999999.0,, Космонавтов,2А,Подольск,
Самолет Плюс Просторы,real_estate_agent,https://podolsk.cian.ru/sale/flat/308946008/,Подольск,sale,flat,11,12,1,37.7,6450000.0,, Генерала Стрельбицкого,9,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/302903860/,Подольск,sale,flat,1,2,2,52.0,4790000.0,, Суворова,2,Силикатная,
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/306015676/,Подольск,sale,flat,7,14,1,39.8,6600000.0,,Сосновая ,2к3,Подольск,
Вероника,real_estate_agent,https://podolsk.cian.ru/sale/flat/288083661/,Подольск,sale,flat,1,9,1,33.3,4700000.0,,Красногвардейский бульвар,31,Подольск,
Респект Недвижимость,real_estate_agent,https://podolsk.cian.ru/sale/flat/301524956/,Подольск,sale,flat,17,17,1,44.0,6700000.0,, Серпуховская,3А,Подольск,Дом на Серпуховской
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/302948652/,Подольск,sale,flat,1,4,1,32.8,5200000.0,,Пионерская ,26А,Подольск,
Любовь Корягина,realtor,https://podolsk.cian.ru/sale/flat/306058362/,Подольск,sale,flat,5,9,1,34.1,5800000.0,, Советская,1,Подольск,
Самолёт плюс Чехов,real_estate_agent,https://podolsk.cian.ru/sale/flat/304546815/,Подольск,sale,flat,5,6,2,67.3,6800000.0,, Заводская,21,Подольск,
Надежда Жвикова,realtor,https://podolsk.cian.ru/sale/flat/303050182/,Подольск,sale,flat,5,5,2,52.6,5000000.0,,Плещеевская ,56Б,Силикатная,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/306900260/,Подольск,sale,flat,4,4,1,34.0,4999990.0,, Садовая,4А,Подольск,
Павел Борисов,realtor,https://podolsk.cian.ru/sale/flat/304034537/,Подольск,sale,flat,7,12,1,49.1,7100000.0,,проспект Ленина,10,Силикатная,
ЭТАЖИ Подольск,real_estate_agent,https://podolsk.cian.ru/sale/flat/307312209/,Подольск,sale,flat,2,5,2,43.1,6000000.0,, Кирова,51,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/305371213/,Подольск,sale,flat,7,9,2,50.8,6780000.0,, Большая Серпуховская,54,Подольск,
ВСЁ ПРОСТО,real_estate_agent,https://podolsk.cian.ru/sale/flat/308243386/,Подольск,sale,flat,16,17,1,39.9,5800000.0,, Академика Доллежаля,7к2,Подольск,
Надежда Асташева,realtor,https://podolsk.cian.ru/sale/flat/303033283/,Подольск,sale,flat,1,5,2,46.1,5800000.0,,проспект Юных Ленинцев,84а,Щербинка,
Владис,real_estate_agent,https://podolsk.cian.ru/sale/flat/308954594/,Подольск,sale,flat,5,25,1,42.0,6500000.0,, Генерала Варенникова,1,Подольск,
Наталья Рябинина,realtor,https://podolsk.cian.ru/sale/flat/305746811/,Подольск,sale,flat,2,15,1,35.2,6900000.0,,Парадный проезд,12,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/306836910/,Подольск,sale,flat,5,5,2,44.2,5150000.0,, Кирова,53,Подольск,
Exclusive,real_estate_agent,https://podolsk.cian.ru/sale/flat/307953043/,Подольск,sale,flat,10,14,1,38.7,7200000.0,, Академика Доллежаля,14,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/294655341/,Подольск,sale,flat,3,5,2,47.3,5200000.0,, Красная,1А,Подольск,
Виктория Сергеева,realtor,https://podolsk.cian.ru/sale/flat/307898446/,Подольск,sale,flat,5,5,2,47.3,5550000.0,,Красногвардейский бульвар,9,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/308544624/,Подольск,sale,flat,5,5,1,30.4,5500000.0,,Пионерская ,6,Подольск,
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/308719113/,Подольск,sale,flat,15,16,1,40.1,6500000.0,,Колхозная ,20,Подольск,"ул. Колхозная, 20"
Владис,real_estate_agent,https://podolsk.cian.ru/sale/flat/300944250/,Подольск,sale,flat,4,5,2,45.0,4650000.0,, Железнодорожная,3,Подольск,
В.Ю. Групп.,real_estate_agent,https://podolsk.cian.ru/sale/flat/299509373/,Подольск,sale,flat,6,17,1,33.3,4450000.0,, Серпуховская,3А,Подольск,Дом на Серпуховской
Цитадель,real_estate_agent,https://podolsk.cian.ru/sale/flat/307911017/,Подольск,sale,flat,2,10,1,40.6,7100000.0,,Тепличная ,9б,Силикатная,
Гордей Ступников,realtor,https://podolsk.cian.ru/sale/flat/308034940/,Подольск,sale,flat,4,4,1,35.0,4890000.0,, Маштакова,5а,Подольск,
Астория,real_estate_agent,https://podolsk.cian.ru/sale/flat/303259460/,Подольск,sale,flat,4,5,2,41.0,5450000.0,, Свердлова,31,Подольск,
Антон Анциферов,realtor,https://podolsk.cian.ru/sale/flat/307483711/,Подольск,sale,flat,4,5,2,44.8,6000000.0,, Западная,6,Подольск,
Самолет Плюс Москва,real_estate_agent,https://podolsk.cian.ru/sale/flat/296394899/,Подольск,sale,flat,3,5,2,40.0,4900000.0,, Советская,32,Подольск,
Наталья Ворожейкина,realtor,https://podolsk.cian.ru/sale/flat/306460052/,Подольск,sale,flat,6,19,1,40.0,6800000.0,мкр. Кузнечики,бульвар 65-летия Победы,7к1,,
PORTAL ESTATE,real_estate_agent,https://podolsk.cian.ru/sale/flat/299783040/,Подольск,sale,flat,5,5,1,29.0,5150000.0,,Профсоюзная ,2/1,Силикатная,
